batcher, 10, 1024, 0.000956
batcher, 15, 32768, 0.034910
batcher, 20, 1048576, 1.887985
batcher, 22, 4194304, 9.076909
bitonic, 10, 1024,  0.001409
bitonic, 15, 32768,  0.037401
bitonic, 20, 1048576,  2.032271
bitonic, 22, 4194304,  9.760433
